methodA,methodB,isGolden,originalName,answerValue,answerer,wasDiscarded,modelProbability,answeredAt,sourceWinner,workerType,preferenceStrength,confidence,comparisonId,promptId,source,category,subjectStudy,highestLevelDegree
allenai/tulu-2-70b,gpt-4-turbo-2024-04-09,False,multipref-d095ce34ca6c4655b26f5649923f6023,A,normal:nervous_nightingale,,,2024-05-13 18:33:53.073915,A-is-clearly-better,normal,clearly,absolutely-confident,d095ce34ca6c4655b26f5649923f6023,5168e445b15f412d80b39906efd0516e,allenai/WildChat,Generation,Theatre/Dramatic Arts,Arts & Humanities
allenai/tulu-2-7b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-eb65bcd801034bd9a97ea46349b360d4,B,normal:happy_visvesvaraya,,,2024-05-27 23:37:19.264290,B-is-clearly-better,normal,clearly,absolutely-confident,eb65bcd801034bd9a97ea46349b360d4,5168e445b15f412d80b39906efd0516e,allenai/WildChat,Generation,Theatre/Dramatic Arts,Arts & Humanities
allenai/tulu-2-7b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-eb65bcd801034bd9a97ea46349b360d4,B,normal:loving_mestorf,,,2024-05-13 14:11:17.932975,B-is-clearly-better,normal,clearly,absolutely-confident,eb65bcd801034bd9a97ea46349b360d4,5168e445b15f412d80b39906efd0516e,allenai/WildChat,Generation,Theatre/Dramatic Arts,Arts & Humanities
gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,False,multipref-c0d62cae962746bb838b0efa4336c909,B,normal:infallible_spence,,,2024-05-13 20:46:15.450793,B-is-clearly-better,normal,clearly,absolutely-confident,c0d62cae962746bb838b0efa4336c909,517f371966294922953f1e280b1134bb,anthropic/harmless-base,Open QA,Psychology,Social Sciences
gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,False,multipref-c0d62cae962746bb838b0efa4336c909,B,normal:priceless_colden,,,2024-05-13 20:50:03.767313,B-is-clearly-better,normal,clearly,fairly-confident,c0d62cae962746bb838b0efa4336c909,517f371966294922953f1e280b1134bb,anthropic/harmless-base,Open QA,Psychology,Social Sciences
allenai/tulu-2-70b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-366331f9be4e47e0b5ec62d720b2aa64,A,normal:clever_curie,,,2024-05-16 16:54:08.674467,A-is-clearly-better,normal,clearly,absolutely-confident,366331f9be4e47e0b5ec62d720b2aa64,517f371966294922953f1e280b1134bb,anthropic/harmless-base,Open QA,Psychology,Social Sciences
allenai/tulu-2-70b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-366331f9be4e47e0b5ec62d720b2aa64,draw,normal:epic_jackson,,,2024-05-16 16:57:14.540066,Tie,normal,tie,absolutely-confident,366331f9be4e47e0b5ec62d720b2aa64,517f371966294922953f1e280b1134bb,anthropic/harmless-base,Open QA,Psychology,Social Sciences
allenai/tulu-2-70b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-f223660e5d804c118bfeaf10070bb145,B,normal:mystifying_nobel,,,2024-05-11 01:53:08.363176,B-is-slightly-better,normal,slightly,fairly-confident,f223660e5d804c118bfeaf10070bb145,51a08ea7db56499d9d83f1e438fe4364,allenai/WildChat,Open QA,Law,Arts & Humanities
allenai/tulu-2-70b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-f223660e5d804c118bfeaf10070bb145,B,normal:laughing_roentgen,,,2024-05-11 01:55:25.552559,B-is-clearly-better,normal,clearly,absolutely-confident,f223660e5d804c118bfeaf10070bb145,51a08ea7db56499d9d83f1e438fe4364,allenai/WildChat,Open QA,Law,Arts & Humanities
allenai/tulu-2-7b,gpt-3.5-turbo-0125,False,multipref-f3697b93603d46b0a11293f2b90c3727,draw,normal:compassionate_hermann,,,2024-05-22 06:42:31.438221,Tie,normal,tie,absolutely-confident,f3697b93603d46b0a11293f2b90c3727,51a08ea7db56499d9d83f1e438fe4364,allenai/WildChat,Open QA,Law,Arts & Humanities
allenai/tulu-2-7b,gpt-3.5-turbo-0125,False,multipref-f3697b93603d46b0a11293f2b90c3727,draw,normal:condescending_rosalind,,,2024-05-22 06:39:42.117099,Tie,normal,tie,absolutely-confident,f3697b93603d46b0a11293f2b90c3727,51a08ea7db56499d9d83f1e438fe4364,allenai/WildChat,Open QA,Law,Arts & Humanities
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-59da463836314fb9ae008799d4a0fd64,B,normal:pedantic_kowalevski,,,2024-05-15 05:20:25.843498,B-is-clearly-better,normal,clearly,absolutely-confident,59da463836314fb9ae008799d4a0fd64,51a9dff5ce0b4985bc0591f1e059f743,lmsys/chatbot_arena_conversations,Open QA,Psychology,Social Sciences
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-59da463836314fb9ae008799d4a0fd64,B,normal:amazing_mcnulty,,,2024-05-15 05:23:20.243597,B-is-clearly-better,normal,clearly,absolutely-confident,59da463836314fb9ae008799d4a0fd64,51a9dff5ce0b4985bc0591f1e059f743,lmsys/chatbot_arena_conversations,Open QA,Psychology,Social Sciences
allenai/tulu-2-70b,gpt-3.5-turbo-0125,False,multipref-25f63393acc1498c97cee923a63afea1,A,normal:epic_jackson,,,2024-05-16 13:03:31.319742,A-is-clearly-better,normal,clearly,absolutely-confident,25f63393acc1498c97cee923a63afea1,51ae16968d084d9494b7d5df3be311ae,lmsys/chatbot_arena_conversations,Open QA,Mathematics,Mathematics and statistics
allenai/tulu-2-70b,gpt-3.5-turbo-0125,False,multipref-25f63393acc1498c97cee923a63afea1,B,normal:quizzical_khorana,,,2024-05-16 13:06:10.844182,B-is-clearly-better,normal,clearly,absolutely-confident,25f63393acc1498c97cee923a63afea1,51ae16968d084d9494b7d5df3be311ae,lmsys/chatbot_arena_conversations,Open QA,Mathematics,Mathematics and statistics
allenai/tulu-2-7b,gpt-3.5-turbo-0125,False,multipref-4480863c71424abfabb895eb2ad438c6,A,normal:quirky_hypatia,,,2024-05-10 20:43:24.548540,A-is-clearly-better,normal,clearly,absolutely-confident,4480863c71424abfabb895eb2ad438c6,51d33ded047848cd8a37973b60826fe9,anthropic/harmless-base,Open QA,Leisure,Social Sciences
allenai/tulu-2-7b,gpt-3.5-turbo-0125,False,multipref-4480863c71424abfabb895eb2ad438c6,A,normal:vigilant_swirles,,,2024-05-10 20:47:09.291416,A-is-clearly-better,normal,clearly,absolutely-confident,4480863c71424abfabb895eb2ad438c6,51d33ded047848cd8a37973b60826fe9,anthropic/harmless-base,Open QA,Leisure,Social Sciences
allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,False,multipref-e5699b22605544aa87ce3488d49a3ba0,B,normal:quirky_fermi,,,2024-05-13 19:53:40.893952,B-is-slightly-better,normal,slightly,fairly-confident,e5699b22605544aa87ce3488d49a3ba0,51eb85269b3b40fb96cf3239210f15e8,anthropic/helpful-base,Open QA,Veterinary Medicine,Health and welfare
allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,False,multipref-e5699b22605544aa87ce3488d49a3ba0,B,normal:pedantic_kowalevski,,,2024-05-13 20:02:54.204534,B-is-clearly-better,normal,clearly,absolutely-confident,e5699b22605544aa87ce3488d49a3ba0,51eb85269b3b40fb96cf3239210f15e8,anthropic/helpful-base,Open QA,Veterinary Medicine,Health and welfare
gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-8d1c87dd1ee44de6ba50cbec0812a6d8,draw,normal:practical_agnesi,,,2024-05-22 15:43:50.826546,Tie,normal,tie,absolutely-confident,8d1c87dd1ee44de6ba50cbec0812a6d8,520872d39c21492084007c5d530a542a,anthropic/helpful-base,Open QA,Leisure,Arts & Humanities
gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-8d1c87dd1ee44de6ba50cbec0812a6d8,draw,normal:quizzical_khorana,,,2024-05-22 15:49:22.011074,Tie,normal,tie,absolutely-confident,8d1c87dd1ee44de6ba50cbec0812a6d8,520872d39c21492084007c5d530a542a,anthropic/helpful-base,Open QA,Leisure,Arts & Humanities
allenai/tulu-2-7b,gpt-3.5-turbo-0125,False,multipref-1d9b413fbe7646e49d977adf9bedb51e,draw,normal:pedantic_noether,,,2024-05-21 23:03:12.654237,Tie,normal,tie,absolutely-confident,1d9b413fbe7646e49d977adf9bedb51e,520872d39c21492084007c5d530a542a,anthropic/helpful-base,Open QA,Leisure,Arts & Humanities
allenai/tulu-2-7b,gpt-3.5-turbo-0125,False,multipref-1d9b413fbe7646e49d977adf9bedb51e,draw,normal:stupefied_murdock,,,2024-05-21 23:06:21.344082,Tie,normal,tie,absolutely-confident,1d9b413fbe7646e49d977adf9bedb51e,520872d39c21492084007c5d530a542a,anthropic/helpful-base,Open QA,Leisure,Arts & Humanities
allenai/tulu-2-7b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-a2ab447cf19c47039bdf34544782ceb5,B,normal:reverent_heisenberg,,,2024-05-08 00:33:29.765090,B-is-clearly-better,normal,clearly,absolutely-confident,a2ab447cf19c47039bdf34544782ceb5,52141f763d46419495c6f81c2609ded1,lmsys/chatbot_arena_conversations,Open QA,History,History
allenai/tulu-2-7b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-a2ab447cf19c47039bdf34544782ceb5,B,normal:keen_williams,,,2024-05-08 00:38:50.094774,B-is-clearly-better,normal,clearly,absolutely-confident,a2ab447cf19c47039bdf34544782ceb5,52141f763d46419495c6f81c2609ded1,lmsys/chatbot_arena_conversations,Open QA,History,History
gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-83562591aa0e44098821e4ab1396ba55,B,normal:sad_bassi,,,2024-05-22 16:19:39.349400,B-is-clearly-better,normal,clearly,fairly-confident,83562591aa0e44098821e4ab1396ba55,52141f763d46419495c6f81c2609ded1,lmsys/chatbot_arena_conversations,Open QA,History,History
gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-83562591aa0e44098821e4ab1396ba55,B,normal:quizzical_galileo,,,2024-05-22 16:22:46.610786,B-is-slightly-better,normal,slightly,absolutely-confident,83562591aa0e44098821e4ab1396ba55,52141f763d46419495c6f81c2609ded1,lmsys/chatbot_arena_conversations,Open QA,History,History
gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-2e531807ef3b4e37be4b9391bd91c832,A,normal:modest_mirzakhani,,,2024-05-13 07:27:15.460519,A-is-clearly-better,normal,clearly,absolutely-confident,2e531807ef3b4e37be4b9391bd91c832,521883bd42c7436dad5a45313972955f,allenai/WildChat,Generation,English Literature,Arts & Humanities
gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-2e531807ef3b4e37be4b9391bd91c832,draw,normal:cool_heyrovsky,,,2024-05-13 07:34:37.909490,Tie,normal,tie,absolutely-confident,2e531807ef3b4e37be4b9391bd91c832,521883bd42c7436dad5a45313972955f,allenai/WildChat,Generation,English Literature,Arts & Humanities
gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-3a51f7e5501d44a087cbe6a887285eb0,draw,normal:goofy_kalam,,,2024-05-15 08:07:14.847976,Tie,normal,tie,absolutely-confident,3a51f7e5501d44a087cbe6a887285eb0,521883bd42c7436dad5a45313972955f,allenai/WildChat,Generation,English Literature,Arts & Humanities
gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-3a51f7e5501d44a087cbe6a887285eb0,A,normal:youthful_spence,,,2024-05-15 08:29:18.827593,A-is-slightly-better,normal,slightly,fairly-confident,3a51f7e5501d44a087cbe6a887285eb0,521883bd42c7436dad5a45313972955f,allenai/WildChat,Generation,English Literature,Arts & Humanities
gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-ee8cdbd3ff514188abd7cbc906347ec4,B,normal:priceless_colden,,,2024-05-22 17:47:22.232211,B-is-slightly-better,normal,slightly,fairly-confident,ee8cdbd3ff514188abd7cbc906347ec4,5232701ed1e34b2694d697a87bb7acd2,anthropic/helpful-base,Open QA,Agriculture and Horticulture,Natural sciences
gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-ee8cdbd3ff514188abd7cbc906347ec4,draw,normal:nostalgic_shockley,,,2024-05-22 17:58:02.442427,Tie,normal,tie,absolutely-confident,ee8cdbd3ff514188abd7cbc906347ec4,5232701ed1e34b2694d697a87bb7acd2,anthropic/helpful-base,Open QA,Agriculture and Horticulture,Natural sciences
allenai/tulu-2-7b,gpt-3.5-turbo-0125,False,multipref-4aeb600e3b3442198a1d0b17fd1cf05e,A,normal:stupefied_murdock,,,2024-05-13 02:35:07.684843,A-is-slightly-better,normal,slightly,absolutely-confident,4aeb600e3b3442198a1d0b17fd1cf05e,524e48e5ba154ac8bed6d62dab167f5d,anthropic/harmless-base,Open QA,Health and Medicine,Health and welfare
allenai/tulu-2-7b,gpt-3.5-turbo-0125,False,multipref-4aeb600e3b3442198a1d0b17fd1cf05e,B,normal:unruffled_hoover,,,2024-05-13 02:38:31.891837,B-is-slightly-better,normal,slightly,fairly-confident,4aeb600e3b3442198a1d0b17fd1cf05e,524e48e5ba154ac8bed6d62dab167f5d,anthropic/harmless-base,Open QA,Health and Medicine,Health and welfare
allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,False,multipref-f0500e2b896f446abd80eb94ed44dd6f,B,normal:stupefied_murdock,,,2024-05-13 03:46:28.238900,B-is-slightly-better,normal,slightly,absolutely-confident,f0500e2b896f446abd80eb94ed44dd6f,5259ab00a95d46f88b97312bef37c581,anthropic/helpful-base,Open QA,Veterinary Medicine,Natural sciences
allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,False,multipref-f0500e2b896f446abd80eb94ed44dd6f,A,normal:naughty_ritchie,,,2024-05-13 03:52:30.925088,A-is-slightly-better,normal,slightly,absolutely-confident,f0500e2b896f446abd80eb94ed44dd6f,5259ab00a95d46f88b97312bef37c581,anthropic/helpful-base,Open QA,Veterinary Medicine,Natural sciences
gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-1b1caaca40a443a18d4b9c69973f427d,B,normal:wizardly_pare,,,2024-05-22 03:23:08.149218,B-is-clearly-better,normal,clearly,absolutely-confident,1b1caaca40a443a18d4b9c69973f427d,5259ab00a95d46f88b97312bef37c581,anthropic/helpful-base,Open QA,Veterinary Medicine,Natural sciences
gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-1b1caaca40a443a18d4b9c69973f427d,B,normal:thirsty_northcutt,,,2024-05-22 03:25:32.210507,B-is-clearly-better,normal,clearly,absolutely-confident,1b1caaca40a443a18d4b9c69973f427d,5259ab00a95d46f88b97312bef37c581,anthropic/helpful-base,Open QA,Veterinary Medicine,Natural sciences
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-de49500a1c85487b9ee5db5261fb0b5a,A,normal:kind_ardinghelli,,,2024-05-08 22:49:46.677632,A-is-slightly-better,normal,slightly,fairly-confident,de49500a1c85487b9ee5db5261fb0b5a,525a4868ea1e4f6b9ae880efb282bfbc,lmsys/sharegpt-vicuna,Extract,Business,Administration & Law
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-de49500a1c85487b9ee5db5261fb0b5a,draw,normal:xenodochial_payne,,,2024-05-08 22:56:36.102949,Tie,normal,tie,fairly-confident,de49500a1c85487b9ee5db5261fb0b5a,525a4868ea1e4f6b9ae880efb282bfbc,lmsys/sharegpt-vicuna,Extract,Business,Administration & Law
allenai/tulu-2-7b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-8c7d7339d9e742b28a8e39087a337e2c,A,normal:quizzical_khorana,,,2024-05-16 17:57:27.933295,A-is-clearly-better,normal,clearly,absolutely-confident,8c7d7339d9e742b28a8e39087a337e2c,5263aba247154e0383577dc4bf59782b,lmsys/sharegpt-vicuna,Brainstorm,Hospitality/Catering,Arts & Humanities
allenai/tulu-2-7b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-8c7d7339d9e742b28a8e39087a337e2c,B,normal:vigilant_swirles,,,2024-05-16 18:04:31.046650,B-is-slightly-better,normal,slightly,fairly-confident,8c7d7339d9e742b28a8e39087a337e2c,5263aba247154e0383577dc4bf59782b,lmsys/sharegpt-vicuna,Brainstorm,Hospitality/Catering,Arts & Humanities
allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,False,multipref-30a49789d07c40f58c694aef0ee625d0,B,normal:laughing_roentgen,,,2024-05-10 23:45:35.611250,B-is-slightly-better,normal,slightly,absolutely-confident,30a49789d07c40f58c694aef0ee625d0,5263aba247154e0383577dc4bf59782b,lmsys/sharegpt-vicuna,Brainstorm,Hospitality/Catering,Arts & Humanities
allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,False,multipref-30a49789d07c40f58c694aef0ee625d0,B,normal:pedantic_noether,,,2024-05-11 00:15:57.550609,B-is-clearly-better,normal,clearly,absolutely-confident,30a49789d07c40f58c694aef0ee625d0,5263aba247154e0383577dc4bf59782b,lmsys/sharegpt-vicuna,Brainstorm,Hospitality/Catering,Arts & Humanities
allenai/tulu-2-7b,gpt-3.5-turbo-0125,False,multipref-1319d911d0d54691ad037b63218abd3b,B,normal:wizardly_pare,,,2024-05-24 17:48:08.814798,B-is-slightly-better,normal,slightly,absolutely-confident,1319d911d0d54691ad037b63218abd3b,5265072a16e54746a45c92cbf17d8b73,anthropic/helpful-base,Open QA,Education,Education
allenai/tulu-2-7b,gpt-3.5-turbo-0125,False,multipref-1319d911d0d54691ad037b63218abd3b,A,normal:happy_galileo,,,2024-05-07 20:34:12.339213,A-is-slightly-better,normal,slightly,absolutely-confident,1319d911d0d54691ad037b63218abd3b,5265072a16e54746a45c92cbf17d8b73,anthropic/helpful-base,Open QA,Education,Education
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-494bf05bb8a14bba8011427af57d6c61,B,normal:cool_kalam,,,2024-05-28 00:02:40.246855,B-is-slightly-better,normal,slightly,absolutely-confident,494bf05bb8a14bba8011427af57d6c61,5265072a16e54746a45c92cbf17d8b73,anthropic/helpful-base,Open QA,Education,Education
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-494bf05bb8a14bba8011427af57d6c61,B,normal:affectionate_bhabha,,,2024-05-21 23:04:12.149404,B-is-slightly-better,normal,slightly,absolutely-confident,494bf05bb8a14bba8011427af57d6c61,5265072a16e54746a45c92cbf17d8b73,anthropic/helpful-base,Open QA,Education,Education
allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,False,multipref-e132e7d9f7dd46d49cf25acad7c4a79c,A,normal:peaceful_golick,,,2024-05-15 09:05:01.499819,A-is-clearly-better,normal,clearly,fairly-confident,e132e7d9f7dd46d49cf25acad7c4a79c,5278b2fc5cb3401ea6a264d7f7024b30,anthropic/harmless-base,Open QA,Counselling,Social Sciences
allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,False,multipref-e132e7d9f7dd46d49cf25acad7c4a79c,B,normal:silly_khorana,,,2024-05-24 17:11:50.007773,B-is-slightly-better,normal,slightly,absolutely-confident,e132e7d9f7dd46d49cf25acad7c4a79c,5278b2fc5cb3401ea6a264d7f7024b30,anthropic/harmless-base,Open QA,Counselling,Social Sciences
allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,False,multipref-2275c9a9bf374c058293eafa642043f1,B,normal:gracious_kare,,,2024-05-24 18:47:51.300209,B-is-clearly-better,normal,clearly,absolutely-confident,2275c9a9bf374c058293eafa642043f1,52aa5cbfb015449a8369035abef15d55,lmsys/chatbot_arena_conversations,Closed QA,Computer Science,Mathematics and statistics
allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,False,multipref-2275c9a9bf374c058293eafa642043f1,B,normal:goofy_kalam,,,2024-05-13 08:58:38.229419,B-is-clearly-better,normal,clearly,absolutely-confident,2275c9a9bf374c058293eafa642043f1,52aa5cbfb015449a8369035abef15d55,lmsys/chatbot_arena_conversations,Closed QA,Computer Science,Mathematics and statistics
gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-5fb34d6b4682402abb44417ce9d9e147,A,normal:modest_mirzakhani,,,2024-05-11 11:07:09.659288,A-is-clearly-better,normal,clearly,absolutely-confident,5fb34d6b4682402abb44417ce9d9e147,52aa5cbfb015449a8369035abef15d55,lmsys/chatbot_arena_conversations,Closed QA,Computer Science,Mathematics and statistics
gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-5fb34d6b4682402abb44417ce9d9e147,A,normal:suspicious_brown,,,2024-05-11 11:26:31.995062,A-is-slightly-better,normal,slightly,absolutely-confident,5fb34d6b4682402abb44417ce9d9e147,52aa5cbfb015449a8369035abef15d55,lmsys/chatbot_arena_conversations,Closed QA,Computer Science,Mathematics and statistics
allenai/tulu-2-70b,gpt-3.5-turbo-0125,False,multipref-245f1bb4cc6c4897bd6641c8a4a1cd5b,A,normal:peaceful_golick,,,2024-05-16 12:28:22.483762,A-is-slightly-better,normal,slightly,fairly-confident,245f1bb4cc6c4897bd6641c8a4a1cd5b,52b1731ba4df48c5a7adb841227c27df,anthropic/helpful-base,Open QA,Health and Medicine,Health and welfare
allenai/tulu-2-70b,gpt-3.5-turbo-0125,False,multipref-245f1bb4cc6c4897bd6641c8a4a1cd5b,A,normal:zealous_boyd,,,2024-05-16 12:31:29.066592,A-is-slightly-better,normal,slightly,absolutely-confident,245f1bb4cc6c4897bd6641c8a4a1cd5b,52b1731ba4df48c5a7adb841227c27df,anthropic/helpful-base,Open QA,Health and Medicine,Health and welfare
allenai/tulu-2-7b,allenai/tulu-2-70b,False,multipref-1dca65022bac4f8387b8724bf7ffdb7e,draw,normal:nervous_hypatia,,,2024-05-22 09:32:37.356906,Tie,normal,tie,absolutely-confident,1dca65022bac4f8387b8724bf7ffdb7e,52b1731ba4df48c5a7adb841227c27df,anthropic/helpful-base,Open QA,Health and Medicine,Health and welfare
allenai/tulu-2-7b,allenai/tulu-2-70b,False,multipref-1dca65022bac4f8387b8724bf7ffdb7e,B,normal:epic_jackson,,,2024-05-22 09:34:13.453111,B-is-slightly-better,normal,slightly,absolutely-confident,1dca65022bac4f8387b8724bf7ffdb7e,52b1731ba4df48c5a7adb841227c27df,anthropic/helpful-base,Open QA,Health and Medicine,Health and welfare
allenai/tulu-2-7b,gpt-3.5-turbo-0125,False,multipref-2e66488991e04e468b14837adbfa1dc3,A,normal:elastic_swanson,,,2024-05-22 03:51:19.357398,A-is-slightly-better,normal,slightly,absolutely-confident,2e66488991e04e468b14837adbfa1dc3,52b9cd7be1b048e79821c044ac50a7cb,lmsys/sharegpt-vicuna,Open QA,Communication and/or Media,Journalism & Information Business
allenai/tulu-2-7b,gpt-3.5-turbo-0125,False,multipref-2e66488991e04e468b14837adbfa1dc3,A,normal:stupefied_murdock,,,2024-05-22 03:53:14.498897,A-is-slightly-better,normal,slightly,fairly-confident,2e66488991e04e468b14837adbfa1dc3,52b9cd7be1b048e79821c044ac50a7cb,lmsys/sharegpt-vicuna,Open QA,Communication and/or Media,Journalism & Information Business
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-a7ab7d385e1f4769be2c035caefbd2da,B,normal:brave_hoover,,,2024-05-21 20:51:04.776342,B-is-slightly-better,normal,slightly,absolutely-confident,a7ab7d385e1f4769be2c035caefbd2da,52b9cd7be1b048e79821c044ac50a7cb,lmsys/sharegpt-vicuna,Open QA,Communication and/or Media,Journalism & Information Business
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-a7ab7d385e1f4769be2c035caefbd2da,B,normal:reverent_mcnulty,,,2024-05-21 20:56:06.417914,B-is-clearly-better,normal,clearly,absolutely-confident,a7ab7d385e1f4769be2c035caefbd2da,52b9cd7be1b048e79821c044ac50a7cb,lmsys/sharegpt-vicuna,Open QA,Communication and/or Media,Journalism & Information Business
allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,False,multipref-ec9353899d6441208fe71dc913f9d359,A,normal:xenodochial_payne,,,2024-05-08 22:53:13.027787,A-is-slightly-better,normal,slightly,absolutely-confident,ec9353899d6441208fe71dc913f9d359,52d95cce60c440a4accaa9cbedc6da13,lmsys/chatbot_arena_conversations,Open QA,Psychology,Arts & Humanities
allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,False,multipref-ec9353899d6441208fe71dc913f9d359,B,normal:kind_ardinghelli,,,2024-05-08 22:57:32.146468,B-is-slightly-better,normal,slightly,absolutely-confident,ec9353899d6441208fe71dc913f9d359,52d95cce60c440a4accaa9cbedc6da13,lmsys/chatbot_arena_conversations,Open QA,Psychology,Arts & Humanities
allenai/tulu-2-70b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-582fb3929517422e97afa2c779d7c8fa,B,normal:peaceful_babbage,,,2024-05-16 14:12:58.366151,B-is-slightly-better,normal,slightly,absolutely-confident,582fb3929517422e97afa2c779d7c8fa,52dbf103f9ac476db4fb274445f46772,lmsys/chatbot_arena_conversations,Open QA,Psychology,Social Sciences
allenai/tulu-2-70b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-582fb3929517422e97afa2c779d7c8fa,A,normal:romantic_liskov,,,2024-05-16 14:23:42.039615,A-is-slightly-better,normal,slightly,fairly-confident,582fb3929517422e97afa2c779d7c8fa,52dbf103f9ac476db4fb274445f46772,lmsys/chatbot_arena_conversations,Open QA,Psychology,Social Sciences
allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,False,multipref-e28ffe25f3bc41ec93647c579571d65e,A,normal:brave_hoover,,,2024-05-22 03:39:17.766993,A-is-slightly-better,normal,slightly,absolutely-confident,e28ffe25f3bc41ec93647c579571d65e,52e2d1048eb4466ca9e317d18248c947,lmsys/sharegpt-vicuna,Rewrite,Health and Medicine,Health and welfare
allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,False,multipref-e28ffe25f3bc41ec93647c579571d65e,A,normal:laughing_roentgen,,,2024-05-22 03:45:58.167126,A-is-clearly-better,normal,clearly,absolutely-confident,e28ffe25f3bc41ec93647c579571d65e,52e2d1048eb4466ca9e317d18248c947,lmsys/sharegpt-vicuna,Rewrite,Health and Medicine,Health and welfare
gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,False,multipref-285ea647923b43c1aec98515b3570ffd,A,normal:silly_mestorf,,,2024-05-22 15:20:03.002136,A-is-slightly-better,normal,slightly,absolutely-confident,285ea647923b43c1aec98515b3570ffd,52f48bbf9460404480d643f25d9cddba,anthropic/harmless-base,Open QA,Leisure,Arts & Humanities
gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,False,multipref-285ea647923b43c1aec98515b3570ffd,A,normal:sad_bassi,,,2024-05-22 15:40:35.371304,A-is-slightly-better,normal,slightly,fairly-confident,285ea647923b43c1aec98515b3570ffd,52f48bbf9460404480d643f25d9cddba,anthropic/harmless-base,Open QA,Leisure,Arts & Humanities
meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-0446961e13e5454180dd9e508b7d6d79,A,normal:kind_ardinghelli,,,2024-05-10 21:56:14.503019,A-is-slightly-better,normal,slightly,fairly-confident,0446961e13e5454180dd9e508b7d6d79,530422b442944d1dabe87dff8ec5c34e,lmsys/chatbot_arena_conversations,Coding,Computer Science,Information and Communication Technologies
