methodA,methodB,isGolden,originalName,answerValue,answerer,wasDiscarded,modelProbability,answeredAt,sourceWinner
ppl-sonar-pro-high,ppl-sonar-reasoning,False,search-arena-1811,draw,e57fa9d8eea91c2e1b67b07bd8f9f4341c3aab62bb16a6d644c8d4a12b26c5a0,,,2025-03-24 16:39:04.153,tie
ppl-sonar-reasoning,ppl-sonar,False,search-arena-1812,A,25558211d791f000cb519fd6922fe25f8025e9a92a0aa1b35f5dbf4d9317ca07,,,2025-03-24 16:47:14.061,model_a
ppl-sonar-reasoning,ppl-sonar-pro,False,search-arena-1813,A,c2a9e9229d132788952bd1d810505a985e8e34014ee9c18a646bed66cb4de630,,,2025-03-24 16:54:41.596,model_a
api-gpt-4o-search-high,api-gpt-4o-mini-search,False,search-arena-1814,draw,0b8a5601e08b5d8da84bb5dd4c315da67e8cabde12982eb30a8cf5a5641dcf19,,,2025-03-24 17:02:59.692,tie
ppl-sonar-pro,ppl-sonar-pro-high,False,search-arena-1815,draw,81d2869350a7df527585f7b31aae5ad0221e57b7497cef8ff3034962b7a1b074,,,2025-03-24 17:09:51.206,tie (bothbad)
api-gpt-4o-search-high,ppl-sonar,False,search-arena-1816,A,da82eafa0408070865a027f31f2e46dd6314d9eb6853606a14c27370a0ed5927,,,2025-03-24 17:16:45.683,model_a
api-gpt-4o-search,ppl-sonar-reasoning,False,search-arena-1817,B,0ccd2e4dc2abe49b824ffc31f547047e3ca40a9009e21a11fd2d43f0bb3048cf,,,2025-03-24 17:19:03.665,model_b
api-gpt-4o-search,api-gpt-4o-search-high,False,search-arena-1818,draw,32ee38f33ee13e8f0974ccd825187675a99270f8dadadc5d270fb9324831043f,,,2025-03-24 17:28:54.305,tie
api-gpt-4o-mini-search,api-gpt-4o-search-high,False,search-arena-1819,A,478eaa0165f6abc50c4bc33f0814fefaa34ccb7d51bcae487db7b96213a684d4,,,2025-03-24 17:34:03.608,model_a
ppl-sonar,api-gpt-4o-search-high,False,search-arena-1820,A,1a03e71a2476d6110ad62167923240b10c38c231361944eed582b11974253788,,,2025-03-24 17:34:23.157,model_a
ppl-sonar,api-gpt-4o-search-high,False,search-arena-1821,B,9a99e137797150e976f0459d622b57c9fd5243a43c969b79fdf07de860bbe742,,,2025-03-24 17:46:20.811,model_b
ppl-sonar,api-gpt-4o-search-high,False,search-arena-1822,B,9a99e137797150e976f0459d622b57c9fd5243a43c969b79fdf07de860bbe742,,,2025-03-24 17:46:20.811,model_b
api-gpt-4o-search,api-gpt-4o-mini-search,False,search-arena-1823,draw,105ddde867d8857b871cf28344e974fe233350af00b6b84e2b094353ffcb9892,,,2025-03-24 17:47:04.374,tie (bothbad)
api-gpt-4o-search,ppl-sonar-pro-high,False,search-arena-1824,draw,73922eb71d51318960d1c7c31de17c2e4afa04b138349dc0e518ede52d559c6f,,,2025-03-24 17:48:04.682,tie (bothbad)
ppl-sonar-reasoning,api-gpt-4o-mini-search,False,search-arena-1825,A,1e4f84050d8a887e743949b05fbef27ed326493abc39ad8fc8c757448f44b4d6,,,2025-03-24 17:59:39.865,model_a
api-gpt-4o-search-high,api-gpt-4o-mini-search,False,search-arena-1826,B,c3374920f474d4be195348eab91186701eba24eede8dcc520fdd6a03fdc74d79,,,2025-03-24 18:01:38.959,model_b
api-gpt-4o-search-high,ppl-sonar-reasoning,False,search-arena-1827,B,763c9ccdee32f46872d6d2da45598d9ee3780122cd761e5486e76ef32dc112dd,,,2025-03-24 18:03:07.171,model_b
api-gpt-4o-search-high,ppl-sonar-reasoning,False,search-arena-1828,B,763c9ccdee32f46872d6d2da45598d9ee3780122cd761e5486e76ef32dc112dd,,,2025-03-24 18:03:07.171,model_b
api-gpt-4o-search-high,ppl-sonar-reasoning,False,search-arena-1829,draw,763c9ccdee32f46872d6d2da45598d9ee3780122cd761e5486e76ef32dc112dd,,,2025-03-24 18:03:07.171,tie
api-gpt-4o-mini-search,api-gpt-4o-search-high,False,search-arena-1830,draw,59d0f9ef351dc685d92de2e8a034672b4e05dc119956dd692915af14f63ca165,,,2025-03-24 18:11:07.523,tie
ppl-sonar-pro-high,ppl-sonar,False,search-arena-1831,B,5a9c9f8a14f66a7f69565fe8f2788105559e40658f8d0ad3acbb1b685a11770f,,,2025-03-24 18:19:20.904,model_b
api-gpt-4o-search,api-gpt-4o-search-high,False,search-arena-1832,A,5a9c9f8a14f66a7f69565fe8f2788105559e40658f8d0ad3acbb1b685a11770f,,,2025-03-24 18:20:16.565,model_a
api-gpt-4o-mini-search,api-gpt-4o-search,False,search-arena-1833,A,95a7752dc567d117dcd65491e6933e6c68346638262fc788da2a00a9841e0b10,,,2025-03-24 18:20:54.229,model_a
api-gpt-4o-mini-search,api-gpt-4o-search,False,search-arena-1834,A,95a7752dc567d117dcd65491e6933e6c68346638262fc788da2a00a9841e0b10,,,2025-03-24 18:20:54.229,model_a
api-gpt-4o-search,api-gpt-4o-search-high,False,search-arena-1835,draw,7cc3ead8d5b45c99c9db922b243a4a4a6bb800f59b8517de3170a7d6390d6756,,,2025-03-24 18:22:56.341,tie
ppl-sonar-reasoning,ppl-sonar,False,search-arena-1836,B,ef27d10e553e343ddc806d0c7204ca1d5851440d61d102208a2448f2b2fc067f,,,2025-03-24 18:38:58.994,model_b
api-gpt-4o-mini-search,ppl-sonar-reasoning,False,search-arena-1837,B,4475a22218be599658c512032110925108d903a5ea8171992e07e78c20f15371,,,2025-03-24 18:41:35.690,model_b
api-gpt-4o-mini-search,ppl-sonar-reasoning,False,search-arena-1838,A,4475a22218be599658c512032110925108d903a5ea8171992e07e78c20f15371,,,2025-03-24 18:41:35.690,model_a
ppl-sonar-pro-high,api-gpt-4o-search,False,search-arena-1839,B,e2cc809f0029968e029e53f5ad34cbcbb8670f88a6c8c66e9f0cca68394b8442,,,2025-03-24 18:44:02.528,model_b
ppl-sonar-pro-high,api-gpt-4o-mini-search,False,search-arena-1840,A,d1086de33dffa96f492244015f6a727592e34770a1439e3f3499e22ba00fa1f0,,,2025-03-24 18:49:26.393,model_a
api-gpt-4o-search-high,ppl-sonar-reasoning,False,search-arena-1841,B,d1086de33dffa96f492244015f6a727592e34770a1439e3f3499e22ba00fa1f0,,,2025-03-24 18:50:31.106,model_b
ppl-sonar-pro,ppl-sonar-pro-high,False,search-arena-1842,B,3b5074390c3aecfaa233fc7301ef3596da71be5c4cf132226fe40b9c74956e1a,,,2025-03-24 18:52:48.468,model_b
api-gpt-4o-mini-search,api-gpt-4o-search-high,False,search-arena-1843,draw,44774b7ac05a218617ab60d1e5f3961ecd962ec52522881e53e49ec8d69cb54c,,,2025-03-24 19:09:59.902,tie
ppl-sonar-pro,api-gpt-4o-search-high,False,search-arena-1844,A,d1086de33dffa96f492244015f6a727592e34770a1439e3f3499e22ba00fa1f0,,,2025-03-24 19:10:27.968,model_a
api-gpt-4o-search,api-gpt-4o-search-high,False,search-arena-1845,draw,d1086de33dffa96f492244015f6a727592e34770a1439e3f3499e22ba00fa1f0,,,2025-03-24 19:13:41.171,tie
api-gpt-4o-search-high,ppl-sonar-pro-high,False,search-arena-1846,draw,d1086de33dffa96f492244015f6a727592e34770a1439e3f3499e22ba00fa1f0,,,2025-03-24 19:16:33.139,tie
api-gpt-4o-search-high,ppl-sonar-pro-high,False,search-arena-1847,draw,4e960f2e15995e4afa56b2a07142f11dac489dc57cadd5b742b1d073e34de3a1,,,2025-03-24 19:19:22.715,tie (bothbad)
ppl-sonar-pro,api-gpt-4o-search-high,False,search-arena-1848,draw,d1086de33dffa96f492244015f6a727592e34770a1439e3f3499e22ba00fa1f0,,,2025-03-24 19:25:31.288,tie (bothbad)
api-gpt-4o-search,ppl-sonar-pro,False,search-arena-1849,A,763c9ccdee32f46872d6d2da45598d9ee3780122cd761e5486e76ef32dc112dd,,,2025-03-24 19:30:05.091,model_a
api-gpt-4o-search-high,api-gpt-4o-mini-search,False,search-arena-1850,A,f1d054b27e2896bf81f0004522bcad07d2b996a9df65d18109f605656e59f059,,,2025-03-24 19:39:17.057,model_a
api-gpt-4o-search,ppl-sonar-reasoning,False,search-arena-1851,draw,982e9f4bc19f89fc05de0dd6c659aec33169609eb733f59f78fbc528eba22109,,,2025-03-24 19:44:08.437,tie (bothbad)
api-gpt-4o-search,api-gpt-4o-mini-search,False,search-arena-1852,draw,f258a4d689f5388a1c6d861cfe4cd390e13323d09bcfb2d343f8668169cbc0d3,,,2025-03-24 19:55:33.326,tie
ppl-sonar-reasoning,api-gpt-4o-mini-search,False,search-arena-1853,A,6db6de4027e4c0c5e9cccf5aa6b2ec251dbcf9c170d864cd50e40e5564b9b452,,,2025-03-24 19:56:25.418,model_a
ppl-sonar-pro-high,api-gpt-4o-search-high,False,search-arena-1854,B,31edaabca7e6a1bd08ec5921ff93e663b25d664cd924e375ed029a19c3fc1d6c,,,2025-03-24 20:16:29.532,model_b
api-gpt-4o-mini-search,ppl-sonar-reasoning,False,search-arena-1855,B,17515f4136bd949c287c326cdc7192ba540963d74deee74bf4f3f2b28d6103c1,,,2025-03-24 20:22:45.835,model_b
ppl-sonar,ppl-sonar-reasoning,False,search-arena-1856,draw,cf7192137078214f9aeadd52ea8a649de3d8c40162c18a413307ec6afdb81706,,,2025-03-24 20:23:09.010,tie
api-gpt-4o-mini-search,api-gpt-4o-search-high,False,search-arena-1857,draw,cf7192137078214f9aeadd52ea8a649de3d8c40162c18a413307ec6afdb81706,,,2025-03-24 20:26:56.475,tie
api-gpt-4o-search-high,ppl-sonar-reasoning,False,search-arena-1858,B,cf7192137078214f9aeadd52ea8a649de3d8c40162c18a413307ec6afdb81706,,,2025-03-24 20:28:29.760,model_b
ppl-sonar-pro-high,api-gpt-4o-mini-search,False,search-arena-1859,A,ce103bbe51138a0f34cca0834a63f33ea65b7ffa8fde806c2d49103be3038d17,,,2025-03-24 20:31:07.013,model_a
api-gpt-4o-search-high,ppl-sonar-pro,False,search-arena-1860,B,de6bf72ab98229c0d0d4c54d412b9b12c4a464b7823106c51f8fa0a5ee2494bd,,,2025-03-24 20:34:01.876,model_b
api-gpt-4o-search-high,ppl-sonar-pro-high,False,search-arena-1861,draw,4f4d48a4065c5ca194b97e24ab8bd9d1d3ad5857eb4567207523d3e9bf732b54,,,2025-03-24 20:41:17.670,tie
ppl-sonar,api-gpt-4o-search-high,False,search-arena-1862,A,4f4d48a4065c5ca194b97e24ab8bd9d1d3ad5857eb4567207523d3e9bf732b54,,,2025-03-24 20:45:53.746,model_a
ppl-sonar-reasoning,ppl-sonar-pro,False,search-arena-1863,A,03af82663fc1ef5d6f3d5bfde079a9c760b93db368ebc5bef07122deb68bcc65,,,2025-03-24 20:49:30.231,model_a
ppl-sonar-pro-high,api-gpt-4o-search-high,False,search-arena-1864,A,26faf434e3ee37ca7749ef1b4cc579be58cd2dbdd2072394acabb91255479aba,,,2025-03-24 20:49:43.719,model_a
ppl-sonar-pro-high,ppl-sonar-pro,False,search-arena-1865,B,26faf434e3ee37ca7749ef1b4cc579be58cd2dbdd2072394acabb91255479aba,,,2025-03-24 20:54:49.120,model_b
api-gpt-4o-mini-search,ppl-sonar,False,search-arena-1866,draw,15c6e096bf8474b63d186369ba60490732fc86b6bf2889aa418b028ca4688cd1,,,2025-03-24 21:00:18.656,tie (bothbad)
api-gpt-4o-search-high,ppl-sonar,False,search-arena-1867,B,26faf434e3ee37ca7749ef1b4cc579be58cd2dbdd2072394acabb91255479aba,,,2025-03-24 21:03:59.833,model_b
ppl-sonar-pro,ppl-sonar-pro-high,False,search-arena-1868,draw,8cedaa6abd251bb1d706ab089bd272af18c1614faeaafd9515fe74a9d9284502,,,2025-03-24 21:07:01.451,tie
ppl-sonar-pro,ppl-sonar-pro-high,False,search-arena-1869,A,8cedaa6abd251bb1d706ab089bd272af18c1614faeaafd9515fe74a9d9284502,,,2025-03-24 21:07:01.451,model_a
api-gpt-4o-mini-search,ppl-sonar-pro-high,False,search-arena-1870,draw,7bef5beeef9ce15125ebe7232b59e79be2684272fdd1d146c082ffcf2e7f4c7a,,,2025-03-24 21:16:51.043,tie
api-gpt-4o-search,ppl-sonar,False,search-arena-1871,B,26faf434e3ee37ca7749ef1b4cc579be58cd2dbdd2072394acabb91255479aba,,,2025-03-24 21:24:06.409,model_b
ppl-sonar,api-gpt-4o-search,False,search-arena-1872,B,f589b2353902c7453e99664b3a41d80732f14b0f68576c9fe537c14d9b5fc1bd,,,2025-03-24 21:26:39.857,model_b
api-gpt-4o-mini-search,api-gpt-4o-search,False,search-arena-1873,B,bdabe2fd1090fbaaacebe88bad118a13a37796bf5c443f0bf9a08cb4948d349f,,,2025-03-24 21:37:49.041,model_b
ppl-sonar-pro,api-gpt-4o-search-high,False,search-arena-1874,A,654226069c6f445dca96125dfdfb62f3a608d9ff4e5c8c34d796e9614cb1842d,,,2025-03-24 21:52:34.348,model_a
ppl-sonar-pro,api-gpt-4o-search-high,False,search-arena-1875,A,654226069c6f445dca96125dfdfb62f3a608d9ff4e5c8c34d796e9614cb1842d,,,2025-03-24 21:52:34.348,model_a
ppl-sonar-pro-high,api-gpt-4o-search-high,False,search-arena-1876,B,3bbd78ddb700f5f3480a3b103be6a56c57aec94a4e5c7eec515aac04e9c05f78,,,2025-03-24 21:53:34.087,model_b
api-gpt-4o-search-high,api-gpt-4o-search,False,search-arena-1877,draw,654226069c6f445dca96125dfdfb62f3a608d9ff4e5c8c34d796e9614cb1842d,,,2025-03-24 21:59:33.832,tie (bothbad)
api-gpt-4o-search-high,api-gpt-4o-search,False,search-arena-1878,draw,654226069c6f445dca96125dfdfb62f3a608d9ff4e5c8c34d796e9614cb1842d,,,2025-03-24 21:59:33.832,tie (bothbad)
ppl-sonar-pro,api-gpt-4o-mini-search,False,search-arena-1879,draw,71d65552f7c90b6fe1853dde973df56308a20e5df00af6234ec1bfcd3f01f25a,,,2025-03-24 22:03:47.028,tie (bothbad)
ppl-sonar-pro,ppl-sonar-pro-high,False,search-arena-1880,A,698be66dfb14e027ae7a01abc0b54ca91669d805ac1990fe889ab331cccab1c4,,,2025-03-24 22:04:11.743,model_a
ppl-sonar-pro-high,api-gpt-4o-search,False,search-arena-1881,A,71d65552f7c90b6fe1853dde973df56308a20e5df00af6234ec1bfcd3f01f25a,,,2025-03-24 22:07:17.857,model_a
api-gpt-4o-search,ppl-sonar-pro-high,False,search-arena-1882,B,c93de1179a3913033a293f499aaa58915686f1aa0eaefe3e8608c1cfff9c76ba,,,2025-03-24 22:10:02.655,model_b
api-gpt-4o-search,ppl-sonar-reasoning,False,search-arena-1883,B,654226069c6f445dca96125dfdfb62f3a608d9ff4e5c8c34d796e9614cb1842d,,,2025-03-24 22:10:51.807,model_b
ppl-sonar-pro,api-gpt-4o-mini-search,False,search-arena-1884,B,bfa5e429cf9850e6d1ebdc0500b367bb02a1b5973646d1b5ba35cefde7ed84ba,,,2025-03-24 22:27:19.787,model_b
api-gpt-4o-search-high,ppl-sonar,False,search-arena-1885,draw,e5c8849d5bbda65584275a6244181425c60f5537fb179baa3df4550ef33f61ff,,,2025-03-24 22:35:05.330,tie
ppl-sonar,ppl-sonar-pro-high,False,search-arena-1886,A,06b18d9478e54dde9e621771d38210b0dfbc46de98fd68f1f7a72daacc89f8fb,,,2025-03-24 22:36:02.720,model_a
api-gpt-4o-search,api-gpt-4o-mini-search,False,search-arena-1887,B,e5c8849d5bbda65584275a6244181425c60f5537fb179baa3df4550ef33f61ff,,,2025-03-24 22:38:13.470,model_b
ppl-sonar-pro-high,api-gpt-4o-mini-search,False,search-arena-1888,B,ae8d242655970fedc478ddd9dcb62ace5f11328d8cf55f09bfca8c1d18f2010a,,,2025-03-24 22:50:04.317,model_b
api-gpt-4o-search-high,ppl-sonar,False,search-arena-1889,B,37f039060e39e718665fde262ef1ac255717d5274d6cf5cbab458484142f135b,,,2025-03-24 22:52:08.289,model_b
api-gpt-4o-search-high,api-gpt-4o-mini-search,False,search-arena-1890,draw,4aa089e729c5ff793782b9eaf6e9e05e241787e8abfe68f963f9178dd1a3f773,,,2025-03-24 23:03:07.948,tie
ppl-sonar-pro-high,ppl-sonar-pro,False,search-arena-1891,draw,dede75e5539588b7cb628a4a363a90ed6d784ec20355a38fe25a2c98731abe8b,,,2025-03-24 23:06:25.525,tie
api-gpt-4o-search-high,ppl-sonar-pro,False,search-arena-1892,A,ae8e73c43ab0f298a4a3ec5774b0aac4478ad309d54d730d5ef3047910a661e4,,,2025-03-24 23:20:54.991,model_a
ppl-sonar-pro,ppl-sonar,False,search-arena-1893,B,ae8e73c43ab0f298a4a3ec5774b0aac4478ad309d54d730d5ef3047910a661e4,,,2025-03-24 23:22:01.896,model_b
ppl-sonar-pro-high,ppl-sonar-pro,False,search-arena-1894,draw,ae8e73c43ab0f298a4a3ec5774b0aac4478ad309d54d730d5ef3047910a661e4,,,2025-03-24 23:37:19.462,tie
ppl-sonar-reasoning,api-gpt-4o-mini-search,False,search-arena-1895,B,ae8e73c43ab0f298a4a3ec5774b0aac4478ad309d54d730d5ef3047910a661e4,,,2025-03-24 23:38:28.274,model_b
ppl-sonar,ppl-sonar-reasoning,False,search-arena-1896,B,ae8e73c43ab0f298a4a3ec5774b0aac4478ad309d54d730d5ef3047910a661e4,,,2025-03-24 23:39:09.821,model_b
ppl-sonar-pro-high,ppl-sonar-pro,False,search-arena-1897,draw,ae8e73c43ab0f298a4a3ec5774b0aac4478ad309d54d730d5ef3047910a661e4,,,2025-03-24 23:40:15.608,tie
ppl-sonar-reasoning,ppl-sonar,False,search-arena-1898,draw,ae8e73c43ab0f298a4a3ec5774b0aac4478ad309d54d730d5ef3047910a661e4,,,2025-03-24 23:40:49.796,tie
ppl-sonar,ppl-sonar-reasoning,False,search-arena-1899,A,15b4b1497c6dded8152866204da63431918bf2c1b43bf522ccc09ccd386a1211,,,2025-03-24 23:43:13.464,model_a
api-gpt-4o-mini-search,ppl-sonar-pro,False,search-arena-1900,B,15b4b1497c6dded8152866204da63431918bf2c1b43bf522ccc09ccd386a1211,,,2025-03-24 23:44:05.991,model_b
ppl-sonar,api-gpt-4o-mini-search,False,search-arena-1901,B,1cb7a2b21ce838b8134a13d52c9c46c6044d9f2ab5ab1289fe9d363dcd437c09,,,2025-03-24 23:44:55.496,model_b
ppl-sonar-pro-high,api-gpt-4o-search-high,False,search-arena-1902,B,741d027a2578d08a92e1b220ddfaf71551b047ce77df835df0ded78cf637581c,,,2025-03-25 00:06:15.944,model_b
api-gpt-4o-search,ppl-sonar-pro,False,search-arena-1903,B,5d158a4f2dcf2a5c13b61ef4ab47bfc7bd25d88e672f3e543989984846805c61,,,2025-03-25 00:20:45.808,model_b
ppl-sonar,ppl-sonar-pro-high,False,search-arena-1904,A,d8a2a3003072b198e4e2a27161d04909e83ebb31d990920dde0b821052df5717,,,2025-03-25 00:32:36.391,model_a
api-gpt-4o-mini-search,api-gpt-4o-search-high,False,search-arena-1905,B,f6a9ffa607506e52a1d9648feecfe06415ad21dcc823e25d4c399d943bc939d5,,,2025-03-25 00:52:53.276,model_b
api-gpt-4o-mini-search,api-gpt-4o-search-high,False,search-arena-1906,A,f6a9ffa607506e52a1d9648feecfe06415ad21dcc823e25d4c399d943bc939d5,,,2025-03-25 00:52:53.276,model_a
api-gpt-4o-search,api-gpt-4o-mini-search,False,search-arena-1907,draw,d43bb6a334bcddc24410319fd3ed9acd858d6a443f7f5d9113e54adfd35d4fb0,,,2025-03-25 00:57:39.507,tie (bothbad)
api-gpt-4o-search,api-gpt-4o-mini-search,False,search-arena-1908,A,d43bb6a334bcddc24410319fd3ed9acd858d6a443f7f5d9113e54adfd35d4fb0,,,2025-03-25 00:57:39.507,model_a
api-gpt-4o-mini-search,ppl-sonar-reasoning,False,search-arena-1909,draw,d43bb6a334bcddc24410319fd3ed9acd858d6a443f7f5d9113e54adfd35d4fb0,,,2025-03-25 00:58:51.241,tie (bothbad)
ppl-sonar,api-gpt-4o-mini-search,False,search-arena-1910,A,eff1fc4fa653296b9e4e65cb380fb0b7a838653aa8ea8b7231270509195f5442,,,2025-03-25 01:14:40.988,model_a
ppl-sonar-pro,ppl-sonar-reasoning,False,search-arena-1911,draw,f2f7fe7f315b3b83a459871d3387fa9fc7972c62274d0c4cc06d20b9b8ecc427,,,2025-03-25 01:15:54.404,tie
api-gpt-4o-search-high,api-gpt-4o-mini-search,False,search-arena-1912,A,7a7f8b7e76cd968f2908307c6af9f5322059c2d709b719fe32ee939ecfe3c940,,,2025-03-25 01:22:44.804,model_a
ppl-sonar-reasoning,ppl-sonar-pro,False,search-arena-1913,draw,f6f12b396e7cf4dc3060ed535422d3b1035de30ab30d3a8422c8aec5f7f17caa,,,2025-03-25 01:29:43.579,tie (bothbad)
api-gpt-4o-search-high,ppl-sonar-reasoning,False,search-arena-1914,B,6db6de4027e4c0c5e9cccf5aa6b2ec251dbcf9c170d864cd50e40e5564b9b452,,,2025-03-25 01:40:49.896,model_b
ppl-sonar-reasoning,ppl-sonar,False,search-arena-1915,A,fb35393601a33a8dc7531f589f47e333bba9472e3cc6a78111039ae64bc18602,,,2025-03-25 02:03:20.654,model_a
api-gpt-4o-search-high,ppl-sonar-pro,False,search-arena-1916,A,3c5965dfa69538d893c41d8028ca28039ea0cb1528d4b8e57c560aa1bfe9f71e,,,2025-03-25 02:05:01.441,model_a
ppl-sonar,api-gpt-4o-search-high,False,search-arena-1917,A,c70e02ad84eff74d2656163089d59051327f77d48e8b0e1df9e9597e1d44e8b3,,,2025-03-25 02:25:37.976,model_a
ppl-sonar-pro,ppl-sonar,False,search-arena-1918,A,204b216bdce2da4686ce58dc64b0264d1713ce24ddb6369768c93d64d873ed95,,,2025-03-25 02:32:28.279,model_a
ppl-sonar-pro-high,ppl-sonar,False,search-arena-1919,draw,8692e73ce56d563ba0abad280739532a9a84fc835e1adc56990282d31b06fbd7,,,2025-03-25 02:36:00.204,tie (bothbad)
api-gpt-4o-search-high,ppl-sonar-pro-high,False,search-arena-1920,A,6b10600860bc344e34cbead1a096695e9551ff2e172e7cc2457d952c1fb8537f,,,2025-03-25 02:36:14.071,model_a
ppl-sonar-pro-high,api-gpt-4o-search-high,False,search-arena-1921,draw,6b10600860bc344e34cbead1a096695e9551ff2e172e7cc2457d952c1fb8537f,,,2025-03-25 02:37:56.889,tie (bothbad)
ppl-sonar,ppl-sonar-pro-high,False,search-arena-1922,B,6b10600860bc344e34cbead1a096695e9551ff2e172e7cc2457d952c1fb8537f,,,2025-03-25 02:40:53.288,model_b
ppl-sonar-reasoning,api-gpt-4o-search,False,search-arena-1923,A,6b10600860bc344e34cbead1a096695e9551ff2e172e7cc2457d952c1fb8537f,,,2025-03-25 02:43:05.281,model_a
api-gpt-4o-search,api-gpt-4o-mini-search,False,search-arena-1924,draw,8692e73ce56d563ba0abad280739532a9a84fc835e1adc56990282d31b06fbd7,,,2025-03-25 02:46:44.085,tie (bothbad)
ppl-sonar,api-gpt-4o-search-high,False,search-arena-1925,B,ed33a5c64213296c5a7f57d1acd895662bce124b7b7d995921c9e860ce3043ec,,,2025-03-25 02:47:59.503,model_b
ppl-sonar-reasoning,ppl-sonar,False,search-arena-1926,A,d7534ca8eaef4d210b50caea1a5185b5df57635990a1d099944b4cd4d507e3fa,,,2025-03-25 02:56:12.264,model_a
api-gpt-4o-search-high,ppl-sonar-pro-high,False,search-arena-1927,draw,ccfd793152b2c24d0e35ad0cf935acf68c7996e346d94ba6d6f6e6e4060fc490,,,2025-03-25 03:01:53.325,tie (bothbad)
api-gpt-4o-search-high,ppl-sonar-pro-high,False,search-arena-1928,A,881b1e596999cf20159d37cf8a58327f79d038eb10059fb6dd5bbdd67be93ba1,,,2025-03-25 03:26:09.197,model_a
ppl-sonar,ppl-sonar-pro-high,False,search-arena-1929,draw,67e7bcf2fda4e9f0d6157a3f2dbb4a683be04f9a3762b064697f8f37263d18c4,,,2025-03-25 03:35:42.466,tie (bothbad)
api-gpt-4o-mini-search,ppl-sonar,False,search-arena-1930,B,41711b280384487d01f129cda0866c7786a516930e472ca9e77ce1e8aa9ea1a9,,,2025-03-25 03:42:12.968,model_b
ppl-sonar-pro-high,ppl-sonar-pro,False,search-arena-1931,A,f8cc23afb760bb225704be1ea3d60d8dcfc7de67bfa6289b1b9da737795c0ff9,,,2025-03-25 04:33:20.725,model_a
ppl-sonar-reasoning,api-gpt-4o-search-high,False,search-arena-1932,A,2e30ee18f788b787acddb41e69c4b8a23def23f8b551b3a7496f651aad5f5fb1,,,2025-03-25 04:34:29.117,model_a
ppl-sonar-pro-high,ppl-sonar-reasoning,False,search-arena-1933,A,04565611a4ecc2f3b8561fb909c56a44e83f7893b6a2d4769146a86ab4847b86,,,2025-03-25 04:36:18.630,model_a
api-gpt-4o-search-high,ppl-sonar-reasoning,False,search-arena-1934,B,f8cc23afb760bb225704be1ea3d60d8dcfc7de67bfa6289b1b9da737795c0ff9,,,2025-03-25 04:37:17.320,model_b
ppl-sonar,ppl-sonar-pro-high,False,search-arena-1935,B,f8cc23afb760bb225704be1ea3d60d8dcfc7de67bfa6289b1b9da737795c0ff9,,,2025-03-25 04:38:37.577,model_b
ppl-sonar-pro,ppl-sonar-reasoning,False,search-arena-1936,draw,94a4c2dc8ccb2b69c3979902f8de836dbc23502eb73a6984a13f36e590d1b631,,,2025-03-25 04:40:01.959,tie
api-gpt-4o-mini-search,ppl-sonar-reasoning,False,search-arena-1937,B,f8cc23afb760bb225704be1ea3d60d8dcfc7de67bfa6289b1b9da737795c0ff9,,,2025-03-25 04:43:32.206,model_b
api-gpt-4o-mini-search,api-gpt-4o-search,False,search-arena-1938,A,020a20bee1b986ee5b68b81dd2c25077d8c92adabd0f5f3afe606b0307b5a6d2,,,2025-03-25 04:44:55.075,model_a
api-gpt-4o-search,ppl-sonar-pro-high,False,search-arena-1939,A,2e30ee18f788b787acddb41e69c4b8a23def23f8b551b3a7496f651aad5f5fb1,,,2025-03-25 04:49:00.122,model_a
ppl-sonar-pro,api-gpt-4o-mini-search,False,search-arena-1940,A,57ef304072c2c9e2a20854239fba1114a5a686c53d2989c7fb160fdd7bbb549d,,,2025-03-25 04:53:12.573,model_a
ppl-sonar-pro,api-gpt-4o-search-high,False,search-arena-1941,draw,2927fa52aa2031d2c1b8575c8911108a134a20ef59dea0600d7a32c1d204f2c3,,,2025-03-25 04:57:57.647,tie
ppl-sonar,api-gpt-4o-mini-search,False,search-arena-1942,draw,a58d5bf207797cc21e00d87025f4798332057242b8a670fb460f42dd90d98ef8,,,2025-03-25 04:58:41.154,tie (bothbad)
ppl-sonar-reasoning,api-gpt-4o-mini-search,False,search-arena-1943,A,7885ac997a5f9a9e5be5b199e72ad085026a545c3040e4a051a7ec3633840f74,,,2025-03-25 05:05:03.110,model_a
api-gpt-4o-search-high,ppl-sonar-reasoning,False,search-arena-1944,B,7885ac997a5f9a9e5be5b199e72ad085026a545c3040e4a051a7ec3633840f74,,,2025-03-25 05:06:29.999,model_b
ppl-sonar-pro-high,api-gpt-4o-search,False,search-arena-1945,draw,a00553fa4595c5f2b58bfb86ffd6999c80f29ab09fc66830e6f8af865c192980,,,2025-03-25 05:14:51.302,tie (bothbad)
api-gpt-4o-mini-search,api-gpt-4o-search,False,search-arena-1946,draw,25a87f99e9124e3013476cd60a6202fd30f65c0378c6254b5548a39f4ae1bcf5,,,2025-03-25 05:21:59.001,tie (bothbad)
ppl-sonar-pro-high,api-gpt-4o-search-high,False,search-arena-1947,A,c29c503b315eda4c7de9f27de57d8f05ba6bf5dcaa9d221ddbb9471253dca9b4,,,2025-03-25 05:25:32.108,model_a
api-gpt-4o-search-high,api-gpt-4o-search,False,search-arena-1948,B,43ca352653416fba1105fc2642a478b6b702f5ae042aad684ddd62c60a34c6bc,,,2025-03-25 05:34:39.803,model_b
